Recipe,URL,Ingredients
Blood Orange Margaritas,http://smittenkitchen.com/blog/2013/02/blood-orange-margaritas/,"1/2 cup blood orange juice
2 tablespoons freshly squeezed lime juice
3 tablespoons triple sec or cointreau, or more to taste
7 tablespoons white or “silver” tequila
Lime or blood orange slices for garnish, plus some of those drink umbrellas"
Blood-Orange Elixir,https://www.marthastewart.com/8230242/difference-irish-whiskey-scotch-whisky,"Red sanding sugar
Black sanding sugar
1 ½ cups fresh blood-orange juice (from 7 to 8 blood oranges), chilled"
Blood Orange & Blackberry Sangria,http://www.tarteletteblog.com/2011/04/recipe-gluten-free-sangria.html,"3 blood oranges
1 cup blackberries
1.5 liter of good red wine
1/4 cup honey
1/2 cup Grand Marnier"
Frozen Blood and Sand Cocktail Recipe,https://www.seriouseats.com/frozen-blood-and-sand-cocktail-summer-drink-scotch-whisky,"6 ounces peated Scotch whisky, such as The Peat Monster
4 ounces fresh blood orange juice from about 4 blood oranges
3 ounces sweet vermouth, such as Carpano Antica
2 ounces Luxardo cherry syrup (from a jar of Luxardo cherries; see note)
1 ounce Grand Marnier
4 dashes Angostura bitters
4 blood orange slices and 4 Luxardo cherries, for garnish (see note)"
Sparkling Blood Orangeade,https://food52.com/recipes/15822-sparkling-blood-orangeade,"2 Blood Oranges
1-2 Oranges
1 Bottle Ginger Ale (12 oz)"
Blood Orange Sorbet,https://www.bonappetit.com/recipe/blood-orange-sorbet,"4 pounds blood oranges or other oranges
1 1/4 cups water
3 /4 cup sugar"
Blood Orange Roast Chicken,https://honestcooking.com/blood-orange-roast-chicken,"4-5 pound whole chicken
3 teaspoons salt
1/8 teaspoon black pepper
2 tablespoon blood orange zest reserve the blood orange for roasting
2 tablespoons thyme leaves
2 tablespoons chopped garlic
4 tablespoons unsalted butter
1 blood orange quartered (use the one reserved from zesting)"
Cranberry and Blood Orange Relish,https://www.epicurious.com/recipes/food/views/cranberry-and-blood-orange-relish-240405,"4 blood oranges
1 12-ounce bag fresh cranberries
2/3 cup sugar"
Blood Orange Blossom,https://www.latimes.com/recipe/blood-orange-blossom,"6 ounces blood orange juice
6 ounces gin
2 ounces simple syrup
4 twists blood orange peel"
Blood Orange Margaritas recipes,https://smittenkitchen.com/2013/02/blood-orange-margaritas/,"1/2 cup blood orange juice
2 tablespoons freshly squeezed lime juice
3 tablespoons triple sec or cointreau, or more to taste
7 tablespoons white or “silver” tequila
lime slices"
